,name,identification,sex,petition
0,"Porter, Joseph",Young men,M,Anti-P
1,"Porter, Sam:",Young men,M,Anti-P
2,"Preston, Jno.",Young men,M,Anti-P
3,"Porter, Nath.",Young men,M,Anti-P
4,"Swinnerton, Ben:",Young men,M,Anti-P
5,"Buxton, Jno.",Young men,M,Anti-P
6,"Buxton, Jos:",Young men,M,Anti-P
7,"Porter, Will:",Young men,M,Anti-P
8,"Andrew, Dan:",Young men,M,Anti-P
9,"Ingersoll, Jno.",Young men,M,Anti-P
10,"Porter, Ely",Young men,M,Anti-P
11,"Nurse, Sam:",Young men,M,Anti-P
12,"Byshop, Sam:",Young men,M,Anti-P
13,"Byshop, Jonath:",Young men,M,Anti-P
14,"Byshop, David",Young men,M,Anti-P
15,"Buckley, Will:",Young men,M,Anti-P
16,"Byshop, Will:",Young men,M,Anti-P
17,"Holton, Jos: [Sr]",Householder,M,Anti-P
18,"Swinnerton, Job",Householder,M,Anti-P
19,"Nurse, Francis",Householder,M,Anti-P
20,"Porter, Jos:",Householder,M,Anti-P
21,"Hutchinson, Jos: [Sr]",Householder,M,Anti-P
22,"Andrew, Dan:",Householder,M,Anti-P
23,"Swinnerton, Jos:",Householder,M,Anti-P
24,"Preston, Tho:",Householder,M,Anti-P
25,"Buxton, Jno.",Householder,M,Anti-P
26,"Osburn, Alex:",Householder,M,Anti-P
27,"Holton, Jos: [Jr]",Householder,M,Anti-P
28,"Rea, Josh: [Jr]",Householder,M,Anti-P
29,"Kenny, Henry",Householder,M,Anti-P
30,"Wilkins, Tho: [Jr]",Householder,M,Anti-P
31,"Martin, Jno.",Householder,M,Anti-P
32,"Hutchinson, Jos: [Jr]",Householder,M,Anti-P
33,"Braybrook, Sam:",Householder,M,Anti-P
34,"Smith, Abr:",Householder,M,Anti-P
35,"Pope, Joseph",Householder,M,Anti-P
36,"Raiment, Tho:",Householder,M,Anti-P
37,"Byshop, Edw.",Householder,M,Anti-P
38,"Putnam, Jos:",Householder,M,Anti-P
39,"Needom, Isaac",Householder,M,Anti-P
40,"Flint, Jos:",Householder,M,Anti-P
41,"Upton, Sam:",Householder,M,Anti-P
42,"Upton, Will:",Householder,M,Anti-P
43,"Holten, Jno.",Householder,M,Anti-P
44,"Flint, Jno.",Householder,M,Anti-P
45,"Buckley, Will:",Householder,M,Anti-P
46,"Rea, Josh: [Sr]",Church Member,M,Anti-P
47,"Tarbell, Jno.",Church Member,M,Anti-P
48,"Wilkins, Tho:",Church Member,M,Anti-P
49,"Fuller, Tho:",Church Member,M,Anti-P
50,"Nurse, Sam:",Church Member,M,Anti-P
51,"Herrick, Joseph",Church Member,M,Anti-P
52,"Holton, Sarah",Church Member,F,Anti-P
53,"Hutchinson, Lydia",Church Member,F,Anti-P
54,"Buckley, Sarah",Church Member,F,Anti-P
55,"Swinnerton, Esther",Church Member,F,Anti-P
56,"Swinnerton, Mary",Church Member,F,Anti-P
57,"Wilkins, Hanah",Church Member,F,Anti-P
58,"Herrick, Mary",Church Member,F,Anti-P
59,"Tarbell, Mary",Church Member,F,Anti-P
60,"Nurse, Mary",Church Member,F,Anti-P
61,"Raiment, Mary",Church Member,F,Anti-P
62,"Holt, Widow",Church Member,F,Anti-P
63,"Preston, Rebekah",Non-Member,F,Anti-P
64,"Andrew, Sarah",Non-Member,F,Anti-P
65,"Osburn, Ruth",Non-Member,F,Anti-P
66,"Rea, Eliz:",Non-Member,F,Anti-P
67,"Braybrook, Mary",Non-Member,F,Anti-P
68,"Martin, Bethia",Non-Member,F,Anti-P
69,"Smith, Mary",Non-Member,F,Anti-P
70,"Nichols, Joannah",Non-Member,F,Anti-P
71,"Putnam, Eliz:",Non-Member,F,Anti-P
72,"Needom, Sarah",Non-Member,F,Anti-P
73,"Flint, Abigail",Non-Member,F,Anti-P
74,"Holten, Mary",Non-Member,F,Anti-P
75,"Flint, Eliz:",Non-Member,F,Anti-P
76,"Kettel, Eliz:",Non-Member,F,Anti-P
77,"Porter, Eliz:",Non-Member,F,Anti-P
78,"Swinnerton, Eliz:",Non-Member,F,Anti-P
79,"Kittel, James",Free-Holder,M,Anti-P
80,"Porter, Ben:",Free-Holder,M,Anti-P
81,"Porter, Israel",Free-Holder,M,Anti-P
82,"Small, Will:",Free-Holder,M,Anti-P
83,"Swinneron, Jasper",Free-Holder,M,Anti-P
0,"Wilkins, Jane",Householder,F,Pro-P
1,"Wilkins, Sarah",Householder,F,Pro-P
2,"Fuller, Mary",Householder,F,Pro-P
3,"Wilkins, Ruth",Householder,F,Pro-P
4,"Wilkins, Eliz:",Householder,F,Pro-P
