,index,year,decade,century,tried,deaths,city,lon,lat,region,state,country
0,0,Desconocido,1520,1500,1,1.0,Desconocido,,,Desconocido,Desconocido,Estonia
1,1,Desconocido,1530,1500,1,1.0,Desconocido,,,Desconocido,Desconocido,Estonia
2,2,Desconocido,1540,1500,5,5.0,Desconocido,,,Desconocido,Desconocido,Estonia
3,3,Desconocido,1580,1500,7,5.0,Desconocido,,,Desconocido,Desconocido,Estonia
4,4,Desconocido,1590,1500,11,0.0,Desconocido,,,Desconocido,Desconocido,Estonia
5,5,Desconocido,1600,1600,6,1.0,Desconocido,,,Desconocido,Desconocido,Estonia
6,6,Desconocido,1610,1600,22,18.0,Desconocido,,,Desconocido,Desconocido,Estonia
7,7,Desconocido,1620,1600,14,8.0,Desconocido,,,Desconocido,Desconocido,Estonia
8,8,Desconocido,1630,1600,25,4.0,Desconocido,,,Desconocido,Desconocido,Estonia
9,9,Desconocido,1640,1600,39,10.0,Desconocido,,,Desconocido,Desconocido,Estonia
10,10,Desconocido,1650,1600,10,1.0,Desconocido,,,Desconocido,Desconocido,Estonia
11,11,Desconocido,1660,1600,10,4.0,Desconocido,,,Desconocido,Desconocido,Estonia
12,12,Desconocido,1670,1600,8,1.0,Desconocido,,,Desconocido,Desconocido,Estonia
13,13,Desconocido,1680,1600,8,3.0,Desconocido,,,Desconocido,Desconocido,Estonia
14,14,Desconocido,1690,1600,28,3.0,Desconocido,,,Desconocido,Desconocido,Estonia
15,15,Desconocido,1700,1700,5,0.0,Desconocido,,,Desconocido,Desconocido,Estonia
16,16,Desconocido,1720,1700,5,0.0,Desconocido,,,Desconocido,Desconocido,Estonia
17,17,Desconocido,1520,1500,1,0.0,Desconocido,,,Desconocido,Desconocido,Finland
18,18,Desconocido,1540,1500,8,0.0,Desconocido,,,Desconocido,Desconocido,Finland
19,19,Desconocido,1550,1500,12,1.0,Desconocido,,,Desconocido,Desconocido,Finland
20,20,Desconocido,1560,1500,16,4.0,Desconocido,,,Desconocido,Desconocido,Finland
21,21,Desconocido,1570,1500,22,3.0,Desconocido,,,Desconocido,Desconocido,Finland
22,22,Desconocido,1580,1500,15,2.0,Desconocido,,,Desconocido,Desconocido,Finland
23,23,Desconocido,1590,1500,8,1.0,Desconocido,,,Desconocido,Desconocido,Finland
24,24,Desconocido,1600,1600,7,2.0,Desconocido,,,Desconocido,Desconocido,Finland
25,25,Desconocido,1610,1600,6,0.0,Desconocido,,,Desconocido,Desconocido,Finland
26,26,Desconocido,1620,1600,22,3.0,Desconocido,,,Desconocido,Desconocido,Finland
27,27,Desconocido,1630,1600,27,2.0,Desconocido,,,Desconocido,Desconocido,Finland
28,28,Desconocido,1640,1600,66,11.0,Desconocido,,,Desconocido,Desconocido,Finland
29,29,Desconocido,1650,1600,73,10.0,Desconocido,,,Desconocido,Desconocido,Finland
30,30,Desconocido,1660,1600,87,25.0,Desconocido,,,Desconocido,Desconocido,Finland
31,31,Desconocido,1670,1600,157,41.0,Desconocido,,,Desconocido,Desconocido,Finland
